,Name,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date,Hotel Name,Hotel Lat,Hotel Lng
21,Mount Isa,-20.7333,139.5,11.87,26,0,2.57,AU,2021-08-25 20:53:24,ibis Styles Mt Isa Verona,-20.7259501,139.4925696
50,Salta,-24.7859,-65.4117,18.16,21,0,3.58,AR,2021-08-25 20:55:41,Hotel Alejandro I,-24.786856,-65.41195259999999
61,Mendoza,-32.8908,-68.8272,18.74,19,0,3.6,AR,2021-08-25 20:54:49,Hotel Mendoza,-32.8888203,-68.8418459
124,Mar del Plata,-38.0023,-57.5575,17.01,36,20,7.2,AR,2021-08-25 20:56:14,Gran Hotel Mar del Plata,-38.0019654,-57.5437902
126,Mwinilunga,-11.7358,24.4293,20.68,33,9,1.82,ZM,2021-08-25 20:56:14,Kwakuwahi Lodge,-11.7283862,24.4404949
183,Ritchie,-29.038,24.6028,13.56,33,18,5.49,ZA,2021-08-25 20:54:14,Riverside Country Club Modderrivier,-29.0386503,24.6106943
191,Boysun,38.2061,67.1986,21.47,21,0,3.04,UZ,2021-08-25 20:57:21,Gaza Hotel,38.2036748,67.2255057
203,Changji,44.0167,87.3167,21.44,32,0,3.0,CN,2021-08-25 20:57:26,Lvye Holiday Resort,44.030957,87.337276
212,Mumbwa,-14.9783,27.0619,21.25,27,2,3.11,ZM,2021-08-25 20:57:30,Mumbwa Motel,-14.9953288,27.0604935
251,Rawson,-43.3002,-65.1023,13.21,36,12,6.83,AR,2021-08-25 20:49:01,Hosteria Sampedro,-43.301509,-65.10492210000001
263,Thompson,55.7435,-97.8558,18.09,34,40,1.03,CA,2021-08-25 20:45:23,Burntwood Hotel,55.7447295,-97.8587321
300,Kununurra,-15.7667,128.7333,19.25,24,4,3.0,AU,2021-08-25 20:51:29,Hotel Kununurra,-15.7768182,128.7386627
324,San Luis,-33.295,-66.3356,16.6,17,0,3.21,AR,2021-08-25 20:51:59,Huarpes Hotel,-33.305874,-66.3452623
348,Diamantina,-18.2494,-43.6003,19.0,39,0,2.5,BR,2021-08-25 20:52:11,POUSADA OURO DE MINAS,-18.2446378,-43.5960217
357,Kalabo,-14.97,22.6814,20.79,27,9,2.95,ZM,2021-08-25 20:52:16,Sikakubete Guest House Kalabo Town Council,-14.9897479,22.6812154
429,Viedma,-40.8135,-62.9967,14.11,30,7,6.83,AR,2021-08-25 20:52:50,Hotel Cristal,-40.826148,-62.9786224
463,Gravelbourg,49.8834,-106.5512,17.15,38,40,2.87,CA,2021-08-25 20:53:08,Historic Bishops Residence Bed & Breakfast,49.87261849999999,-106.5583107
470,Wuwei,37.9281,102.6414,15.15,30,0,2.4,CN,2021-08-25 20:53:12,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road,37.922981,102.6153959
486,Lubango,-14.9172,13.4925,18.04,27,0,2.06,AO,2021-08-25 20:53:18,Hotel Serra da Chela,-14.933131,13.468683
503,Putina,-15.4667,-69.4333,12.64,29,91,2.12,PE,2021-08-25 20:53:25,Hotel Isla Suasi,-15.451636,-69.474192
533,Santa Fe,-31.6333,-60.7,20.57,20,33,2.68,AR,2021-08-25 20:53:24,Conquistador Hotel,-31.6449549,-60.7053436
