Name,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
Megion,61.0296,76.1136,17.01,72,12,2.69,RU,2021-08-25 20:55:20
Ilulissat,69.2167,-51.1,7.01,81,75,3.6,GL,2021-08-25 20:49:31
Ushuaia,-54.8,-68.3,4.79,52,0,1.54,AR,2021-08-25 20:44:50
Cape Town,-33.9258,18.4232,13.4,88,75,5.14,ZA,2021-08-25 20:49:31
Namie,37.4833,141.0,25.95,93,84,2.14,JP,2021-08-25 20:55:21
Zhigansk,66.7697,123.3711,11.91,96,100,5.8,RU,2021-08-25 20:55:21
Warrnambool,-38.3833,142.4833,8.23,77,100,5.53,AU,2021-08-25 20:55:22
Arraial do Cabo,-22.9661,-42.0278,25.92,57,0,12.35,BR,2021-08-25 20:53:16
Kapaa,22.0752,-159.319,28.18,68,75,2.24,US,2021-08-25 20:52:58
Hermanus,-34.4187,19.2345,13.28,82,0,2.75,ZA,2021-08-25 20:54:12
Avera,33.194,-82.5271,32.64,54,89,2.91,US,2021-08-25 20:55:24
Albany,42.6001,-73.9662,32.67,64,54,0.8,US,2021-08-25 20:52:09
Rikitea,-23.1203,-134.9692,21.76,71,95,4.66,PF,2021-08-25 20:52:54
Katghora,22.5,82.55,24.62,92,100,1.0,IN,2021-08-25 20:55:26
Kendari,-3.945,122.4989,23.11,93,100,1.01,ID,2021-08-25 20:55:26
Gizo Government Station,-8.103,156.8419,27.24,76,82,3.17,SB,2021-08-25 20:55:27
Tegul'det,57.3064,88.1667,13.54,89,90,1.24,RU,2021-08-25 20:55:28
Yulara,-25.2406,130.9889,2.91,44,0,2.57,AU,2021-08-25 20:52:48
Yar-Sale,66.8333,70.8333,7.53,78,100,7.32,RU,2021-08-25 20:55:29
Qaanaaq,77.484,-69.3632,4.05,84,100,4.47,GL,2021-08-25 20:55:29
Severo-Kuril'sk,50.6789,156.125,12.42,94,81,4.38,RU,2021-08-25 20:55:30
Mount Isa,-20.7333,139.5,11.87,26,0,2.57,AU,2021-08-25 20:53:24
Henties Bay,-22.116,14.2845,14.92,81,12,2.72,NA,2021-08-25 20:55:31
Andenes,69.3143,16.1194,9.7,93,0,1.54,NO,2021-08-25 20:55:31
Lüderitz,-26.6481,15.1594,12.77,83,2,3.84,NA,2021-08-25 20:55:32
Torbay,47.6666,-52.7314,19.38,91,90,5.14,CA,2021-08-25 20:55:32
Cabo San Lucas,22.8909,-109.9124,37.51,72,50,4.16,MX,2021-08-25 20:54:05
Tuktoyaktuk,69.4541,-133.0374,7.0,81,90,7.2,CA,2021-08-25 20:52:53
Atuona,-9.8,-139.0333,25.29,71,46,8.85,PF,2021-08-25 20:55:33
Hofn,64.2539,-15.2082,13.49,89,2,5.62,IS,2021-08-25 20:53:51
Raudeberg,61.9875,5.1352,13.78,86,92,1.79,NO,2021-08-25 20:55:33
Namatanai,-3.6667,152.4333,26.02,80,93,2.87,PG,2021-08-25 20:55:34
Port Victoria,0.0939,33.9756,22.9,63,32,3.77,KE,2021-08-25 20:55:34
College,64.8569,-147.8028,13.49,95,90,1.54,US,2021-08-25 20:55:34
Hong Kong,22.2855,114.1577,29.62,84,77,2.83,HK,2021-08-25 20:52:20
Punta Arenas,-53.15,-70.9167,5.06,70,90,6.17,CL,2021-08-25 20:52:49
Saint-Philippe,-21.3585,55.7679,17.9,76,35,3.43,RE,2021-08-25 20:53:53
Sarh,9.1429,18.3923,25.95,89,20,0.0,TD,2021-08-25 20:55:37
Arrondissement de Bressuire,46.9167,-0.5,19.66,45,84,4.32,FR,2021-08-25 20:55:37
Bredasdorp,-34.5322,20.0403,9.62,93,0,3.6,ZA,2021-08-25 20:53:00
Butaritari,3.0707,172.7902,28.41,71,82,6.61,KI,2021-08-25 20:55:38
Ostrovnoy,68.0531,39.5131,4.46,74,44,1.69,RU,2021-08-25 20:55:38
Chokurdakh,70.6333,147.9167,7.54,85,86,1.7,RU,2021-08-25 20:53:05
Castro,-24.7911,-50.0119,24.26,38,49,2.1,BR,2021-08-25 20:55:39
Comonfort,20.7167,-100.7667,26.23,40,33,5.96,MX,2021-08-25 20:55:39
Dolzhanskaya,46.6311,37.8039,24.21,55,0,6.52,RU,2021-08-25 20:55:40
Nefteyugansk,61.0998,72.6035,18.14,76,39,3.63,RU,2021-08-25 20:55:40
Busselton,-33.65,115.3333,11.72,76,78,4.99,AU,2021-08-25 20:55:41
Saldanha,-33.0117,17.9442,12.03,87,0,3.91,ZA,2021-08-25 20:52:57
Puerto Ayora,-0.7393,-90.3518,25.98,85,96,5.36,EC,2021-08-25 20:55:41
Salta,-24.7859,-65.4117,18.16,21,0,3.58,AR,2021-08-25 20:55:41
Necochea,-38.5473,-58.7368,13.91,57,15,3.02,AR,2021-08-25 20:55:42
Port Alfred,-33.5906,26.891,17.39,76,0,4.6,ZA,2021-08-25 20:55:43
Tabory,58.5198,64.5495,18.5,68,82,2.77,RU,2021-08-25 20:55:43
Westport,41.1415,-73.3579,35.03,55,0,0.45,US,2021-08-25 20:52:36
Avarua,-21.2078,-159.775,21.03,78,75,2.06,CK,2021-08-25 20:55:44
Esperance,-33.8667,121.9,12.91,42,70,5.82,AU,2021-08-25 20:55:44
Ghanzi,-21.5667,21.7833,22.06,28,6,4.07,BW,2021-08-25 20:55:45
Ribeira Grande,38.5167,-28.7,21.22,68,40,2.06,PT,2021-08-25 20:55:45
Dingle,10.9995,122.6711,23.46,94,93,3.01,PH,2021-08-25 20:52:49
Tasiilaq,65.6145,-37.6368,5.33,98,100,4.02,GL,2021-08-25 20:55:46
Mendoza,-32.8908,-68.8272,18.74,19,0,3.6,AR,2021-08-25 20:54:49
Vanavara,60.34,102.2797,11.62,95,16,1.69,RU,2021-08-25 20:55:46
Mataura,-46.1927,168.8643,11.38,80,100,1.84,NZ,2021-08-25 20:55:47
Manturovo,58.3353,44.7619,8.16,81,5,0.65,RU,2021-08-25 20:55:47
Maniitsoq,65.4167,-52.9,6.17,98,100,6.95,GL,2021-08-25 20:53:41
Norman Wells,65.282,-126.8329,14.02,82,90,4.12,CA,2021-08-25 20:55:48
Porto Santo,33.072,-16.3415,23.21,83,40,2.57,PT,2021-08-25 20:55:48
Roald,62.5833,6.1333,13.98,82,75,6.17,NO,2021-08-25 20:55:49
Swellendam,-34.0226,20.4417,9.21,73,0,0.57,ZA,2021-08-25 20:55:49
Saint Paul Harbor,57.79,-152.4072,12.87,75,100,2.36,US,2021-08-25 20:55:50
Batagay-Alyta,67.8006,130.4114,10.12,59,39,1.65,RU,2021-08-25 20:55:50
Chimbote,-9.0853,-78.5783,18.52,78,100,6.76,PE,2021-08-25 20:55:51
Horsham,51.064,-0.3272,17.52,65,0,4.63,GB,2021-08-25 20:55:51
Lorengau,-2.0226,147.2712,27.01,78,100,3.6,PG,2021-08-25 20:55:51
Kuytun,54.3419,101.5036,9.22,73,82,0.93,RU,2021-08-25 20:55:52
Clarence Town,-32.5833,151.7833,9.36,82,30,1.96,AU,2021-08-25 20:55:53
Jacksonville,30.3322,-81.6556,33.54,68,75,1.34,US,2021-08-25 20:45:53
Ormstown,45.1334,-73.9992,33.09,42,99,4.15,CA,2021-08-25 20:55:53
Port Elizabeth,-33.918,25.5701,15.05,94,40,1.03,ZA,2021-08-25 20:52:23
Verkhnevilyuysk,63.4453,120.3167,12.73,92,100,3.96,RU,2021-08-25 20:55:55
Ponta do Sol,32.6667,-17.1,23.73,74,48,2.68,PT,2021-08-25 20:55:55
Pisco,-13.7,-76.2167,21.03,60,99,11.83,PE,2021-08-25 20:55:55
Carutapera,-1.195,-46.02,24.74,93,93,3.22,BR,2021-08-25 20:53:16
Paamiut,61.994,-49.6678,6.48,95,100,0.43,GL,2021-08-25 20:55:56
Bagu,18.4228,121.3583,24.3,92,96,1.98,PH,2021-08-25 20:55:57
Pedernales,18.0384,-71.744,28.94,62,99,0.62,DO,2021-08-25 20:55:58
Hobart,-42.8794,147.3294,7.92,81,75,5.14,AU,2021-08-25 20:55:58
Geraldton,-28.7667,114.6,13.23,100,90,0.0,AU,2021-08-25 20:55:59
Hervey Bay,-25.2986,152.8535,7.06,62,11,3.83,AU,2021-08-25 20:55:59
Youkounkoun,12.5333,-13.1333,24.79,87,100,1.32,GN,2021-08-25 20:56:00
Yellowknife,62.456,-114.3525,16.29,77,20,8.75,CA,2021-08-25 20:56:00
Lagoa,39.05,-27.9833,20.7,66,0,5.94,PT,2021-08-25 20:56:00
Pārsābād,39.6482,47.9174,25.18,83,0,4.12,IR,2021-08-25 20:56:01
Pevek,69.7008,170.3133,1.37,98,100,8.09,RU,2021-08-25 20:56:02
Saskylakh,71.9167,114.0833,5.29,93,100,9.88,RU,2021-08-25 20:53:38
Pacific Grove,36.6177,-121.9166,26.0,78,0,3.13,US,2021-08-25 20:55:42
Jamestown,42.097,-79.2353,31.72,48,1,1.34,US,2021-08-25 20:51:42
Salalah,17.0151,54.0924,25.17,93,95,2.95,OM,2021-08-25 20:56:03
Micheweni,-4.9667,39.8333,23.64,76,0,5.85,TZ,2021-08-25 20:56:03
Chu,43.5983,73.7614,23.44,25,7,2.42,KZ,2021-08-25 20:56:04
